Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region,type_label,region_ordinal,region_frequency,region_target
2015-12-27,1.33,11.070344299366457,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-12-20,1.35,10.912867454142175,674.28,44638.81,58.33,9505.56,9408.07,97.49,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-12-13,0.93,11.680312894067965,794.7,109149.67,130.5,8145.35,8042.21,103.14,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-12-06,1.08,11.277116418828971,1132.0,71976.41,72.58,5811.16,5677.4,133.76,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-11-29,1.28,10.840376673435472,941.48,43838.39,75.78,6183.95,5986.26,197.69,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-11-22,1.26,10.932763696520071,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-11-15,0.99,11.332059967607051,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-11-08,0.98,11.60303423175827,703.75,101815.36,80.0,6829.22,6266.85,562.37,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-11-01,1.02,11.51104790345423,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-10-25,1.07,11.216401215436022,842.4,64757.44,113.0,8625.92,8061.47,564.45,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-10-18,1.12,11.348574741114064,924.86,75595.85,117.07,8205.66,7877.86,327.8,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-10-11,1.28,11.074268088068557,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-10-04,1.31,11.018761921225298,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-09-27,0.99,11.578754309532366,1204.88,99409.21,154.84,6034.46,5888.87,145.59,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-09-20,1.33,11.152816201931477,1028.03,59313.12,150.5,9267.36,8489.1,778.26,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-09-13,1.28,11.239964766069596,985.73,65696.86,142.0,9286.68,8665.19,621.49,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-09-06,1.11,11.504630758813805,879.45,90062.62,240.79,7990.1,7762.87,227.23,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-08-30,1.07,11.568311353258965,689.01,94362.67,335.43,10306.73,10218.93,87.8,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-08-23,1.34,11.289695534925485,733.16,67933.79,444.78,10880.36,10745.79,134.57,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-08-16,1.33,11.290341507054427,539.65,68666.01,394.9,10443.22,10297.68,145.54,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-08-09,1.12,11.618563312168106,584.63,100961.46,368.95,9225.89,9116.34,109.55,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-08-02,1.45,11.227029795949273,509.94,62035.06,741.08,11847.02,11768.52,78.5,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-07-26,1.11,11.578320806432405,648.75,91949.05,966.61,13192.69,13061.53,131.16,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-07-19,1.26,11.478520338246053,1042.1,82049.4,2238.02,11287.48,11103.49,183.99,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-07-12,1.05,11.728490854412339,672.25,94693.52,4257.64,24431.9,24290.08,108.49,33.33,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-07-05,1.35,11.601422670902455,869.45,72600.55,5883.16,29898.96,29663.19,235.77,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-06-28,1.37,11.402393935971437,664.23,57545.79,4662.71,26662.08,26311.76,350.32,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-06-21,1.27,11.560289755922575,804.01,76688.55,5481.18,21875.65,21662.0,213.65,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-06-14,1.32,11.403471025073154,850.58,55400.94,4377.19,29002.59,28343.14,659.45,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
2015-06-07,1.07,11.717856653447184,656.71,99220.82,90.32,22775.21,22314.99,460.22,0.0,conventional,2015.0,Albany,0,0,338,1.5610355029585792
